harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
295000000.0,Yogyakarta,80,143,3,2,1300,Sebagian,1.0,SHM - Sertifikat Hak Milik
450000000.0,Yogyakarta,280,150,8,8,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,8 M",Sleman,250,200,10,10,3500,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
830000000.0,Sleman,164,115,6,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
485000000.0,Sleman,36,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,45 M",Sleman,90,105,3,3,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,75 M",Sleman,130,160,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
4500000000.0,Sleman,115,140,4,4,2200,Tak Berperabot,2.0,SHGB - Hak Guna Bangunan
2500000000.0,Sleman,112,93,4,3,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
770000000.0,Sleman,90,152,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2525000000.0,Sleman,130,124,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
185000777.0,Sleman,50,112,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3700000000.0,Sleman,165,135,4,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2525000000.0,Sleman,112,119,3,2,2200,Lengkap,1.0,SHM - Sertifikat Hak Milik
798000000.0,Sleman,255,231,6,5,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2525000000.0,Sleman,100,90,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1250000000.0,Sleman,140,214,4,3,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
690000032.0,Sleman,36,75,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
585000000.0,Bantul,45,74,2,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1400000000.0,Sleman,36,80,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
7500000000.0,Sleman,210,149,5,3,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
442000000.0,Sleman,70,104,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 285 jt,Sleman,36,60,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 485 jt,Sleman,42,108,2,1,2200,Tak Berperabot,1.0,SHGB - Hak Guna Bangunan
1130929000.0,Bantul,60,75,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
5000000000.0,Bantul,36,111,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1130289000.0,Yogyakarta,540,418,10,8,4400,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 2,5 M",Yogyakarta,300,140,5,6,5500,Sebagian,2.0,SHM - Sertifikat Hak Milik
450000000.0,Sleman,80,104,3,2,2200,Lengkap,1.0,SHM - Sertifikat Hak Milik
2525000000.0,Yogyakarta,162,215,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 185,000777 jt",Kulon Progo,30,61,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
6300000000.0,Sleman,440,383,4,4,4400,Lengkap,2.0,SHM - Sertifikat Hak Milik
6000000000.0,Yogyakarta,162,215,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
280000000.0,Yogyakarta,50,115,3,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 2,525 M",Yogyakarta,162,215,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 1,25 M",Sleman,100,134,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 690,000032 jt",Sleman,60,83,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
415000000.0,Sleman,50,105,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 575 jt,Bantul,90,115,3,3,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
390000000.0,Sleman,200,130,3,2,3500,Tak Berperabot,1.0,SHGB - Hak Guna Bangunan
"Rp 1,69109092 M",Sleman,164,115,6,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 7,5 M",Sleman,600,312,10,10,900,Tak Berperabot,6.0,SHM - Sertifikat Hak Milik
